Date,Time,High,Low,Open,Close,Volume
20220201,12:00:00,443.6924,442.3837,443.4858,442.8855,621234
20220201,12:30:00,443.2791,441.8129,442.8855,443.2496,533453
20220201,13:00:00,443.2791,442.3541,443.2299,443.1512,412457
20220201,13:30:00,443.5055,442.4427,443.1512,443.2398,487839
20220201,14:00:00,443.6727,442.3344,443.2693,442.9642,616515
20220201,14:30:00,443.4267,442.6395,442.9642,443.2398,513352
20220201,15:00:00,445.257,443.0725,443.2299,445.0996,1008815
20220201,15:30:00,446.3887,444.6273,445.1291,445.7392,3077984
20220202,09:30:00,449.0948,446.7429,448.2288,447.2743,1639746
20220202,10:00:00,448.7897,446.6249,447.2842,446.9201,1035824
20220202,10:30:00,448.5142,446.1624,446.9594,447.8057,999226
20220202,11:00:00,448.0419,445.8278,447.8155,447.0185,821355
20220202,11:30:00,447.5695,445.9262,447.0283,447.5006,631800
20220202,12:00:00,448.7405,447.0578,447.5006,447.8647,691554
20220202,12:30:00,449.5474,447.5105,447.8746,449.5376,501009
20220202,13:00:00,449.5671,447.9828,449.5179,448.3961,526285
20220202,13:30:00,449.3802,448.3076,448.3961,448.9964,501413
20220202,14:00:00,449.5376,448.219,448.9865,448.9865,744280
20220202,14:30:00,450.4134,448.9177,448.9669,449.7049,809805
20220202,15:00:00,450.6889,449.3113,449.695,450.0887,989779
20220202,15:30:00,450.807,449.577,450.0985,450.0001,2615220
20220203,09:30:00,445.1094,442.8265,443.8302,443.102,2087175
20220203,10:00:00,445.5818,442.8757,443.102,445.2767,1403272
20220203,10:30:00,445.6802,444.2435,445.3062,444.7355,658782
20220203,11:00:00,445.7392,443.9581,444.7552,444.3714,642540
20220203,11:30:00,444.519,442.9839,444.3714,442.9839,680031
20220203,12:00:00,443.4366,442.0196,443.0233,442.9839,791787
20220203,12:30:00,443.4267,442.0688,442.9544,442.7281,554537
20220203,13:00:00,443.2693,441.872,442.7379,442.8757,581792
20220203,13:30:00,443.5055,442.5116,442.8757,442.7969,403768
20220203,14:00:00,443.3972,442.0983,442.7773,442.3935,481046
20220203,14:30:00,442.4329,440.5533,442.3738,441.1241,955640
20220203,15:00:00,442.1967,440.4156,441.1142,441.4488,1044968
20220203,15:30:00,441.4685,438.5951,441.4587,439.5103,3799262
20220204,09:30:00,441.1536,437.9752,439.2741,440.0515,1247528
20220204,10:00:00,441.5571,438.8903,440.081,438.9592,1036423
20220204,10:30:00,439.835,437.1387,438.9592,437.5717,990546
